order_id,invoice_id,case_type,expected_match,expected_category,notes
order_ygfliji18k,INV-2026-00122,clean,True,clean,clean
order_j9rm7pyxdw,INV-2026-00144,clean,True,clean,clean
order_t8hljefy3z,INV-2026-00183,clean,True,clean,clean
order_8y72ivglye,INV-2026-00193,clean,True,clean,clean
order_oy0ifznbqh,INV-2026-00022,partial_refund,True,partial_refund,partial_refund: refund of ~6023.4 reduces net vs invoice_amount
order_b7r3ocwbfu,INV-2026-00043,clean,True,clean,clean
order_rxo1bdje15,INV-2026-00049,clean,True,clean,clean
order_o0llj8yrdd,INV-2026-00071,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_y5y2jr8kk7,INV-2026-00115,clean,True,clean,clean
order_n5pp3xvkvz,INV-2026-00148,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_u6qlz2rwgw,INV-2026-00216,clean,True,clean,clean
order_ye9r1f63ai,INV-2026-00219,clean,True,clean,clean
order_j7xvg0fn9x,INV-2026-00004,clean,True,clean,clean
order_id25owf759,INV-2026-00021,clean,True,clean,clean
order_j883dhx8bm,INV-2026-00066,clean,True,clean,clean
order_enulqjidkn,INV-2026-00107,delayed_settlement,False,delayed_settlement,delayed_settlement: settlement lands well outside a tight date window
order_dr5xyfc4kl,INV-2026-00196,clean,True,clean,clean
order_3lc58drc11,INV-2026-00009,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_n2twdl9zs1,INV-2026-00102,clean,True,clean,clean
order_1vsmado8e7,INV-2026-00153,clean,True,clean,clean
order_6wktakpuxq,INV-2026-00026,clean,True,clean,clean
order_hx74d0gjyv,INV-2026-00133,clean,True,clean,clean
order_w0ldalmjeg,INV-2026-00145,partial_refund,True,partial_refund,partial_refund: refund of ~834.88 reduces net vs invoice_amount
order_42hhihxs58,INV-2026-00209,clean,True,clean,clean
order_479t6vxdp5,INV-2026-00033,partial_refund,True,partial_refund,partial_refund: refund of ~28945.46 reduces net vs invoice_amount
order_8qizk3c9xb,INV-2026-00140,clean,True,clean,clean
order_li076a3kkr,INV-2026-00205,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_uznofy6452,INV-2026-00028,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_swrpbjek5r,INV-2026-00050,clean,True,clean,clean
order_wc4rtwuzka,INV-2026-00092,clean,True,clean,clean
order_z0jkibu4fm,INV-2026-00198,partial_refund,True,partial_refund,partial_refund: refund of ~201.3 reduces net vs invoice_amount
order_7oonncildz,INV-2026-00090,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_bwikotckeh,INV-2026-00187,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_983ep9p9w4,INV-2026-00202,clean,True,clean,clean
order_84azytjxep,INV-2026-00007,clean,True,clean,clean
order_f58c2jwocl,INV-2026-00055,clean,True,clean,clean
order_nz1udbfwyj,INV-2026-00075,clean,True,clean,clean
order_votqtxhi15,INV-2026-00124,partial_refund,True,partial_refund,partial_refund: refund of ~858.8 reduces net vs invoice_amount
order_j70e3p15ah,INV-2026-00129,clean,True,clean,clean
order_h23c42yfkj,,orphan_settlement,False,orphan_settlement,orphan_settlement: no matching internal ledger invoice exists
order_z42o83rlkt,INV-2026-00165,clean,True,clean,clean
order_m148p0tvhh,INV-2026-00032,clean,True,clean,clean
order_o119xp9n56,INV-2026-00127,clean,True,clean,clean
order_agkc4lorxd,INV-2026-00199,clean,True,clean,clean
order_61i2hgj11y,INV-2026-00060,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_4ykadejnob,INV-2026-00109,clean,True,clean,clean
order_38sryo4rcb,INV-2026-00159,clean,True,clean,clean
order_cvarlw3mg2,INV-2026-00191,clean,True,clean,clean
order_sdw4shnf87,INV-2026-00008,partial_refund,True,partial_refund,partial_refund: refund of ~9725.62 reduces net vs invoice_amount
order_bz2sf6f7lo,INV-2026-00111,clean,True,clean,clean
order_zk3ny9v20y,INV-2026-00112,clean,True,clean,clean
order_uuylajahcp,INV-2026-00126,clean,True,clean,clean
order_7yirq8rtm4,INV-2026-00208,clean,True,clean,clean
order_pht0hl9xps,INV-2026-00010,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_xb94pdzp6l,INV-2026-00069,clean,True,clean,clean
order_50h2cwtg1m,INV-2026-00079,clean,True,clean,clean
order_ofn1r4kz36,INV-2026-00132,clean,True,clean,clean
order_rpzlk3e4xy,INV-2026-00154,clean,True,clean,clean
order_az39pecn0d,INV-2026-00168,clean,True,clean,clean
order_gox22iniwc,INV-2026-00171,clean,True,clean,clean
order_vifiit2018,INV-2026-00189,clean,True,clean,clean
order_t5r5rc6zs6,INV-2026-00201,clean,True,clean,clean
order_826gyup12s,INV-2026-00088,clean,True,clean,clean
order_8r2ykccprh,INV-2026-00106,clean,True,clean,clean
order_hcwi64ciyh,INV-2026-00011,clean,True,clean,clean
order_nvksp2ex5t,INV-2026-00070,partial_refund,True,partial_refund,partial_refund: refund of ~18380.54 reduces net vs invoice_amount
order_8uyo57p6bk,INV-2026-00072,clean,True,clean,clean
order_kqxlm5q201,INV-2026-00135,clean,True,clean,clean
order_u8iogxpbwh,INV-2026-00155,clean,True,clean,clean
order_oxko8g8qyn,INV-2026-00078,clean,True,clean,clean
order_brsz1n3iuz,INV-2026-00113,clean,True,clean,clean
order_36htf4pyzr,INV-2026-00125,clean,True,clean,clean
order_0atvzkhiui,INV-2026-00136,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_v78hu7f0i9,INV-2026-00194,clean,True,clean,clean
order_r1dwwo8nbh,INV-2026-00217,partial_refund,True,partial_refund,partial_refund: refund of ~101.6 reduces net vs invoice_amount
order_7ptx63cfl0,INV-2026-00046,clean,True,clean,clean
order_rftmttqlgz,INV-2026-00053,delayed_settlement,False,delayed_settlement,delayed_settlement: settlement lands well outside a tight date window
order_mp2ixivzk7,INV-2026-00170,partial_refund,True,partial_refund,partial_refund: refund of ~1524.56 reduces net vs invoice_amount
order_w1n6kvpuc8,INV-2026-00044,clean,True,clean,clean
order_duxlez896d,INV-2026-00085,partial_refund,True,partial_refund,partial_refund: refund of ~421.1 reduces net vs invoice_amount
order_qnpcenlk8a,INV-2026-00099,clean,True,clean,clean
order_os7yt2m6tw,INV-2026-00151,clean,True,clean,clean
order_ngwyx9trfl,INV-2026-00158,clean,True,clean,clean
order_iv7zzj64qh,INV-2026-00210,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_nu80b6ugvs,INV-2026-00082,clean,True,clean,clean
order_ffhhcmktlz,INV-2026-00162,clean,True,clean,clean
order_pqw2vmcqbn,INV-2026-00081,clean,True,clean,clean
order_1poxtfdc79,INV-2026-00173,partial_refund,True,partial_refund,partial_refund: refund of ~10453.61 reduces net vs invoice_amount
order_q0mftg698s,INV-2026-00137,partial_refund,True,partial_refund,partial_refund: refund of ~3612.29 reduces net vs invoice_amount
order_ftaxp0wfoy,INV-2026-00169,delayed_settlement,False,delayed_settlement,delayed_settlement: settlement lands well outside a tight date window
order_q77awudtse,INV-2026-00017,clean,True,clean,clean
order_p87wxe6syl,INV-2026-00025,clean,True,clean,clean
order_itfoyqbkk4,INV-2026-00045,clean,True,clean,clean
order_4muekipu1w,INV-2026-00073,clean,True,clean,clean
order_10lbt3g2qz,INV-2026-00094,clean,True,clean,clean
order_ct64z7w2se,INV-2026-00101,clean,True,clean,clean
order_6m7b5c81jh,INV-2026-00105,clean,True,clean,clean
order_r5l8a78e9r,INV-2026-00134,clean,True,clean,clean
order_5qjicjdan0,INV-2026-00195,clean,True,clean,clean
order_o7uubcxulj,INV-2026-00016,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_6ub7l8v1zo,,orphan_settlement,False,orphan_settlement,orphan_settlement: no matching internal ledger invoice exists
order_l1f90s9bp4,INV-2026-00143,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_lp8ii7ewbx,INV-2026-00174,clean,True,clean,clean
order_zqakoixntm,INV-2026-00040,clean,True,clean,clean
order_of8krd5eqy,INV-2026-00064,clean,True,clean,clean
order_gzlma5uofw,INV-2026-00074,clean,True,clean,clean
order_1qw6ahf7vp,INV-2026-00091,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_swq40zsu9r,INV-2026-00114,clean,True,clean,clean
order_rms3jn050e,INV-2026-00175,clean,True,clean,clean
order_rtwiykid91,INV-2026-00056,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_xbz9svn7n1,INV-2026-00083,clean,True,clean,clean
order_8skch8jwwd,INV-2026-00104,clean,True,clean,clean
order_ru7zkut6om,INV-2026-00116,clean,True,clean,clean
order_bi4o6q0usw,INV-2026-00181,clean,True,clean,clean
order_msyj9boq0i,INV-2026-00184,clean,True,clean,clean
