invoice_id,order_id,invoice_amount,customer,status,created_at
INV-2026-00018,order_tk93tyt7d5,4513.41,Rai LLC,closed,2026-07-11
INV-2026-00115,order_y5y2jr8kk7,68668.04,"Krish, Chauhan and Pandya",closed,2026-07-22
INV-2026-00006,order_pvn9er14ff,95773.95,"Bala, Issac and Saini",closed,2026-07-17
INV-2026-00078,order_oxko8g8qyn,3412.31,Ramakrishnan LLC,closed,2026-08-06
INV-2026-00032,order_m148p0tvhh,21848.1,Upadhyay Group,closed,2026-07-31
INV-2026-00190,order_l0mvzmuf84,1854.37,"Baria, Balasubramanian and Kota",closed,2026-07-12
INV-2026-00004,order_j7xvg0fn9x,16985.06,Balan Inc,closed,2026-07-23
INV-2026-00048,order_1gspk9p38q,115324.7,Brar Inc,closed,2026-07-18
INV-2026-00107,order_enulqjidkn,93244.47,Nath and Sons,closed,2026-07-23
INV-2026-00073,order_4muekipu1w,1143.61,"Chaudhari, Bedi and Zachariah",closed,2026-08-12
INV-2026-00212,order_sic43olfar,87331.36,Sura and Sons,closed,2026-07-20
INV-2026-00163,order_1ocjxzefli,106511.6,"Malhotra, Verma and Sundaram",closed,2026-07-07
INV-2026-00201,order_t5r5rc6zs6,15973.98,"Sangha, Prabhakar and Biswas",closed,2026-08-03
INV-2026-00156,order_3cd5glqj5s,1898.95,Goda Ltd,closed,2026-07-18
INV-2026-00207,order_se45bg34iq,2641.41,Sarin-Loyal,closed,2026-07-05
INV-2026-00177,order_abn7g8b2zx,2120.13,Sarin-Sunder,open,2026-07-03
INV-2026-00127,order_o119xp9n56,2191.04,Upadhyay-Ratta,closed,2026-07-31
INV-2026-00123,order_elos6zle6k,87099.92,Mody-Kari,closed,2026-07-16
INV-2026-00160,order_q01tee13n3,51111.03,Thaman-Sandhu,closed,2026-07-19
INV-2026-00140,order_8qizk3c9xb,14582.03,Salvi Ltd,closed,2026-07-26
INV-2026-00157,order_4w3zkwdeek,83074.3,"Shetty, Bedi and Krish",closed,2026-07-08
INV-2026-00187,order_bwikotckeh,7723.75,Bumb-Singhal,open,2026-07-29
INV-2026-00155,order_u8iogxpbwh,743.76,"Ahluwalia, Chhabra and Sandal",closed,2026-08-05
INV-2026-00102,order_n2twdl9zs1,842.65,"Dugal, Magar and Manda",closed,2026-07-24
INV-2026-00211,order_984uvkyrmj,84242.58,Talwar LLC,closed,2026-07-07
INV-2026-00096,order_n606n9rr7s,20178.51,Palla Inc,closed,2026-07-18
INV-2026-00161,order_xi5bj5d5e3,18817.57,"Sehgal, Dutt and Soman",closed,2026-07-07
INV-2026-00193,order_8y72ivglye,116262.9,Contractor-Kamdar,closed,2026-07-21
INV-2026-00200,order_jqijc1ydmt,7067.39,"Dara, Barman and Palan",closed,2026-07-12
INV-2026-00198,order_z0jkibu4fm,724.18,"Issac, Borra and Kibe",closed,2026-07-27
INV-2026-00173,order_1poxtfdc79,23870.96,"Bahri, Rai and Sood",closed,2026-08-10
INV-2026-00071,order_o0llj8yrdd,12461.54,Mallick Group,open,2026-07-22
INV-2026-00206,order_p3jpxgh301,2179.69,"Madan, Yohannan and Sule",closed,2026-07-20
INV-2026-00116,order_ru7zkut6om,91965.59,"Ray, Dubey and Khalsa",closed,2026-08-15
INV-2026-00002,order_mf8mdd4v30,1771.34,Kapoor and Sons,closed,2026-07-11
INV-2026-00036,order_7u6n7hv3iz,5519.72,Sidhu-Wadhwa,closed,2026-07-07
INV-2026-00136,order_0atvzkhiui,1164.63,Boase-Narayanan,open,2026-08-06
INV-2026-00219,order_ye9r1f63ai,74427.4,Ravel Ltd,closed,2026-07-22
INV-2026-00014,order_r56fao72kz,2557.27,"Dash, Radhakrishnan and Brar",closed,2026-07-11
INV-2026-00112,order_zk3ny9v20y,81403.84,"Divan, Sani and Datta",closed,2026-08-02
INV-2026-00044,order_w1n6kvpuc8,24866.2,Zacharia PLC,closed,2026-08-08
INV-2026-00215,order_ebwuwqheyt,60309.83,"Halder, Chada and Khurana",closed,2026-07-19
INV-2026-00026,order_6wktakpuxq,43224.81,Bhatti-Kakar,closed,2026-07-25
INV-2026-00151,order_os7yt2m6tw,12308.82,Soman PLC,closed,2026-08-08
INV-2026-00074,order_gzlma5uofw,82854.52,Chander and Sons,closed,2026-08-14
INV-2026-00197,order_t6dvwrb7f6,4632.41,Prashad-Ranganathan,closed,2026-07-11
INV-2026-00174,order_lp8ii7ewbx,80711.53,Pandey LLC,closed,2026-08-13
INV-2026-00162,order_ffhhcmktlz,90467.69,Lad-Kota,closed,2026-08-09
INV-2026-00141,order_c4xl9967i6,70220.48,Ghosh-Mitra,closed,2026-07-01
INV-2026-00075,order_nz1udbfwyj,19414.46,Ray Group,closed,2026-07-30
INV-2026-00065,order_x4w7kyhqin,64817.04,Sankar LLC,open,2026-07-10
INV-2026-00068,order_ajepecqnvq,22061.85,Nori-Chopra,closed,2026-07-16
INV-2026-00020,order_tpac56t4uf,10338.24,Pant-Kadakia,closed,2026-07-11
INV-2026-00210,order_iv7zzj64qh,2141.94,Raghavan-Nayar,open,2026-08-08
INV-2026-00220,order_z2nx1wvbd4,27081.76,Mohan Ltd,closed,2026-07-11
INV-2026-00007,order_84azytjxep,61552.89,Sen PLC,closed,2026-07-30
INV-2026-00039,order_lrmjkv5usg,15536.69,Memon Group,closed,2026-07-02
INV-2026-00101,order_ct64z7w2se,20831.29,D’Alia-Chhabra,closed,2026-08-12
INV-2026-00184,order_msyj9boq0i,408.89,Narang-Kakar,closed,2026-08-15
INV-2026-00167,order_jn6fokzixz,9641.04,"Buch, Devi and Dora",closed,2026-07-06
INV-2026-00098,order_os0fb4ypei,1251.91,Sarma PLC,closed,2026-07-05
INV-2026-00109,order_4ykadejnob,15833.57,"Sane, Andra and Choudhury",closed,2026-08-01
INV-2026-00050,order_swrpbjek5r,3025.32,Dave Ltd,closed,2026-07-27
INV-2026-00218,order_a0i5ldslcb,55610.25,Chander LLC,closed,2026-07-13
INV-2026-00132,order_ofn1r4kz36,10577.13,Vaidya-D’Alia,closed,2026-08-03
INV-2026-00081,order_pqw2vmcqbn,17145.82,Kalla-Bhardwaj,closed,2026-08-10
INV-2026-00016,order_o7uubcxulj,1671.14,"Boase, Bath and Kari",open,2026-08-13
INV-2026-00028,order_uznofy6452,16448.03,Shanker-Dhar,open,2026-07-27
INV-2026-00015,order_hc0clbr7tc,20233.95,"Memon, Pathak and Handa",closed,2026-07-10
INV-2026-00119,order_6dut076g5g,7388.03,Sabharwal-Kothari,closed,2026-07-19
INV-2026-00077,order_a0gnzs43c5,7647.15,Gala Group,closed,2026-07-19
INV-2026-00008,order_sdw4shnf87,23983.95,Ahuja-Dutta,closed,2026-08-02
